customer_id,first_name,last_name,active
505,RAFAEL,ABNEY,1
504,NATHANIEL,ADAM,1
36,KATHLEEN,ADAMS,1
96,DIANA,ALEXANDER,1
470,GORDON,ALLARD,1
27,SHIRLEY,ALLEN,1
220,CHARLENE,ALVAREZ,1
11,LISA,ANDERSON,1
326,JOSE,ANDREW,1
183,IDA,ANDREWS,1
449,OSCAR,AQUINO,1
560,JORDAN,ARCHULETA,1
188,MELANIE,ARMSTRONG,1
170,BEATRICE,ARNOLD,1
591,KENT,ARSENAULT,1
345,CARL,ARTIS,1
530,DARRYL,ASHCRAFT,1
540,TYRONE,ASHER,1
196,ALMA,AUSTIN,1
60,MILDRED,BAILEY,1
37,PAMELA,BAKER,1
383,MARTIN,BALES,1
559,EVERETT,BANDA,1
215,JESSIE,BANKS,1
551,CLAYTON,BARBEE,1
503,ANGEL,BARCLAY,1
362,NICHOLAS,BARFIELD,1
382,VICTOR,BARKLEY,1
79,RACHEL,BARNES,1
275,CAROLE,BARNETT,1
280,TRACEY,BARRETT,1
295,DAISY,BATES,1
317,EDWARD,BAUGH,1
301,ROBERT,BAUGHMAN,1
58,JEAN,BELL,1
511,CHESTER,BENNER,1
77,JANE,BENNETT,1
168,REGINA,BERRY,1
495,CHARLIE,BESS,1
448,MIGUEL,BETANCOURT,1
344,HENRY,BILLINGSLEY,1
217,AGNES,BISHOP,1
149,VALERIE,BLACK,1
461,DEREK,BLAKELY,1
539,MATHEW,BOLIN,1
433,DON,BONE,1
460,LEON,BOSTIC,1
381,BOBBY,BOUDREAU,1
476,DERRICK,BOURQUE,1
447,CLIFFORD,BOWENS,1
248,CAROLINE,BOWMAN,1
573,BYRON,BOX,1
134,EMMA,BOYD,1
181,ANA,BRADLEY,1
538,TED,BREAUX,1
251,VICKIE,BREWER,1
380,RUSSELL,BRINSON,1
73,BEVERLY,BROOKS,1
394,CHRIS,BROTHERS,1
5,ELIZABETH,BROWN,1
550,GUY,BROWNLEE,1
95,PAULA,BRYANT,1
537,CLINTON,BUFORD,1
469,WESLEY,BULL,1
325,TIMOTHY,BUNN,1
432,EDWIN,BURK,1
243,LYDIA,BURKE,1
572,SIDNEY,BURLESON,1
142,APRIL,BURNS,1
227,COLLEEN,BURTON,1
442,LEROY,BUSTAMANTE,1
91,LOIS,BUTLER,1
412,ALLEN,BUTTERFIELD,1
261,DEANNA,BYRD,1
310,DANIEL,CABRAL,1
272,KAY,CALDWELL,1
46,CATHERINE,CAMPBELL,1
419,CHAD,CARBONE,1
253,TERRY,CARLSON,1
189,LORETTA,CARPENTER,1
205,EILEEN,CARR,1
401,TONY,CARRANZA,1
176,JUNE,CARROLL,1
40,AMANDA,CARTER,1
468,TIM,CARY,1
423,ALFRED,CASILLAS,1
207,GERTRUDE,CASTILLO,1
282,JENNY,CASTRO,1
393,PHILIP,CAUSEY,1
290,KRISTINA,CHAMBERS,1
483,VERNON,CHAPA,1
209,TONYA,CHAPMAN,1
194,KRISTEN,CHAVEZ,1
441,MARIO,CHEATHAM,1
475,PEDRO,CHESTNUT,1
571,JOHNNIE,CHISHOLM,1
494,RAMON,CHOATE,1
549,NELSON,CHRISTENSON,1
536,FERNANDO,CHURCHILL,1
599,AUSTIN,CINTRON,1
21,MICHELLE,CLARK,1
525,ADRIAN,CLARY,1
440,BERNARD,COLBY,1
108,TRACY,COLE,1
82,KATHRYN,COLEMAN,1
459,TOMMY,COLLAZO,1
50,DIANE,COLLINS,1
56,GLORIA,COOK,1
62,JOAN,COOPER,1
548,ALLAN,CORNISH,1
502,BRETT,CORNWELL,1
379,CARLOS,COUGHLIN,1
324,GARY,COY,1
288,BOBBIE,CRAIG,1
132,ESTHER,CRAWFORD,1
570,IVAN,CROMWELL,1
352,ALBERT,CROUSE,1
118,KIM,CRUZ,1
378,EUGENE,CULPEPPER,1
180,STACY,CUNNINGHAM,1
316,STEVEN,CURLEY,1
411,NORMAN,CURRIER,1
270,LEAH,CURTIS,1
150,DANIELLE,DANIELS,1
262,PATSY,DAVIDSON,1
6,JENNIFER,DAVIS,1
245,COURTNEY,DAY,1
236,MARCIA,DEAN,1
467,ALVIN,DELOACH,1
519,RON,DELUCA,1
598,WADE,DELVALLE,1
481,HERMAN,DEVORE,1
99,EMILY,DIAZ,1
139,AMBER,DIXON,1
257,MARSHA,DOUGLAS,1
392,SEAN,DOUGLASS,1
458,LLOYD,DOWD,1
597,FREDDIE,DUGGAN,1
177,SAMANTHA,DUNCAN,1
160,ERIN,DUNN,1
418,JEFF,EAST,1
466,LEO,EBERT,1
49,JOYCE,EDWARDS,1
422,MELVIN,ELLINGTON,1
193,KATIE,ELLIOTT,1
114,GRACE,ELLIS,1
535,JAVIER,ELROD,1
524,JARED,ELY,1
547,KURT,EMMONS,1
417,TRAVIS,ESTEP,1
48,ANN,EVANS,1
300,JOHN,FARNSWORTH,1
439,ALEXANDER,FENNELL,1
156,BERTHA,FERGUSON,1
223,MELINDA,FERNANDEZ,1
201,VICKI,FIELDS,1
113,CINDY,FISHER,1
258,MYRTLE,FLEMING,1
293,MAE,FLETCHER,1
89,JULIA,FLORES,1
102,CRYSTAL,FORD,1
445,MICHEAL,FORMAN,1
596,ENRIQUE,FORSYTHE,1
509,RAUL,FORTIER,1
377,HOWARD,FORTNER,1
93,PHYLLIS,FOSTER,1
351,JACK,FOUST,1
250,JO,FOWLER,1
186,HOLLY,FOX,1
350,JUAN,FRALEY,1
431,JOEL,FRANCISCO,1
199,BETH,FRANKLIN,1
242,GLENDA,FRAZIER,1
123,SHANNON,FREEMAN,1
234,CLAUDIA,FULLER,1
356,GERALD,FULTZ,1
557,FELIX,GAFFNEY,1
376,RANDY,GAITHER,1
391,CLARENCE,GAMEZ,1
465,FLOYD,GANDY,1
299,JAMES,GANNON,1
18,CAROL,GARCIA,1
569,DAVE,GARDINER,1
164,JOANN,GARDNER,1
238,NELLIE,GARRETT,1
224,PEARL,GARZA,1
457,BILL,GAVIN,1
501,RUBEN,GEARY,1
230,JOY,GEORGE,1
116,VICTORIA,GIBSON,1
237,TANYA,GILBERT,1
474,DUSTIN,GILLETTE,1
349,JOE,GILLILAND,1
338,DENNIS,GILMAN,1
121,JOSEPHINE,GOMEZ,1
94,NORMA,GONZALES,1
38,MARTHA,GONZALEZ,1
367,ADAM,GOOCH,1
143,LESLIE,GORDON,1
343,DOUGLAS,GRAF,1
104,RITA,GRAHAM,1
154,MICHELE,GRANT,1
276,BRANDY,GRAVES,1
69,JUDY,GRAY,1
309,CHRISTOPHER,GRECO,1
35,VIRGINIA,GREEN,1
191,JEANETTE,GREENE,1
284,SONIA,GREGORY,1
454,ALEX,GRESHAM,1
580,ROSS,GREY,1
98,LILLIAN,GRIFFIN,1
308,THOMAS,GRIGSBY,1
355,TERRY,GRISSOM,1
556,ARMANDO,GRUBER,1
523,HARVEY,GUAJARDO,1
